Date,Open,High,Low,Close,Adj_Close,Volume
01-03-2016,26.973,26.973,24.790001,26.007,26.007,0
01-04-2016,26.006001,26.006001,24.827999,24.827999,24.827999,0
01-05-2016,24.791,25.309,24.768999,24.905001,24.905001,0
01-06-2016,24.865999,24.867001,24.225,24.514999,24.514999,0
01-07-2016,24.629,24.801001,24.363001,24.403999,24.403999,0
01-08-2016,24.415001,25.964001,24.415001,25.531,25.531,0
01-09-2016,25.92,26.587999,25.451,25.601,25.601,0
01-10-2016,25.48,25.712999,25.076,25.041,25.041,0
01-11-2016,25.200001,26.299999,25.181999,25.177999,25.177999,0
01-12-2016,25.399,27.25,25.294001,26.846001,26.846001,0
01-01-2017,26.907,27.700001,25.750999,26.729,26.729,0
01-02-2017,26.704,27.379999,26.531,27.040001,27.040001,0
01-03-2017,27.018,27.18,26.299999,26.886,26.886,0
01-04-2017,26.775999,27.139999,26.031,26.372999,26.372999,0
01-05-2017,26.349001,26.51,25.903,25.983999,25.983999,0
01-06-2017,25.985001,26.27,25.638,25.757,25.757,0
01-07-2017,25.77,26.105,25.382999,25.572001,25.572001,0
01-08-2017,25.402,25.93,25.017,25.464001,25.464001,0
01-09-2017,25.341999,26.610001,25.341999,26.246,26.246,0
01-10-2017,26.349001,26.976,26.077,26.549,26.549,0
01-11-2017,26.601,26.940001,26.107,26.767,26.767,0
01-12-2017,26.716999,27.912001,26.716999,27.864,27.864,0
01-01-2018,27.865,28.736,27.5075,28.308599,28.308599,0
01-02-2018,27.625,27.690001,26.222,26.702999,26.702999,0
01-03-2018,26.632,26.702999,25.549999,26.237499,26.237499,0
01-04-2018,26.225,26.306,25.654499,25.9825,25.9825,0
01-05-2018,26.016001,26.261,25.750999,25.864,25.864,0
01-06-2018,25.819,26.601999,25.775999,26.068001,26.068001,0
01-07-2018,26.114,26.601999,25.851,26.473,26.473,0
01-08-2018,26.707001,28.106001,26.667,27.889999,27.889999,0
01-09-2018,28.106001,28.243,27.669001,28.072001,28.072001,0
01-10-2018,27.945,28.212,27.653,27.924,27.924,0
01-11-2018,27.885,28.042999,27.275999,28.042999,28.042999,0
01-12-2018,28.034,28.049,27.077,27.139999,27.139999,0
01-01-2019,27.379999,28.049,27.077,27.490999,27.490999,0
01-02-2019,27.528999,27.528999,26.614,26.712,26.712,0
01-03-2019,26.725,27.149,26.025999,26.841999,26.841999,0
01-04-2019,26.999001,26.999001,26.055,26.143999,26.143999,0
01-05-2019,26.117001,26.704,25.855,26.698,26.698,0
01-06-2019,26.704,26.898001,25.766001,25.931,25.931,0
01-07-2019,25.941999,26.042,24.740999,25.139999,25.139999,0
01-08-2019,24.990999,25.452999,24.431,24.976999,24.976999,0
01-09-2019,24.983999,25.028,23.816,23.818001,23.818001,0
01-10-2019,23.875999,24.956377,23.875999,24.699663,24.699663,0
01-11-2019,24.485502,24.614948,23.635094,23.676136,23.676136,0
01-12-2019,23.635094,23.689627,22.922478,23.433578,23.433578,0
01-01-2020,23.553108,24.777037,23.327078,24.574223,24.574223,0
01-02-2020,24.558739,24.777037,24.13448,24.254372,24.254372,0
01-03-2020,24.160559,27.99596,24.160559,27.795666,27.795666,0
01-04-2020,27.264074,27.472849,26.668598,26.708065,26.708065,0
01-05-2020,26.492945,26.739702,26.031935,26.625046,26.625046,0
01-06-2020,26.608698,26.61883,26.115927,26.478722,26.478722,0
01-07-2020,26.356199,27.622932,26.340017,27.425674,27.425674,0
01-08-2020,27.158117,27.67024,26.882862,27.234909,27.234909,0
01-09-2020,27.240458,28.128323,27.240458,28.030191,28.030191,0
01-10-2020,28.022732,28.239956,27.931005,28.27335,28.27335,0
01-11-2020,28.239956,28.367088,27.77968,28.255152,28.255152,0
01-12-2020,28.334923,28.334923,27.507444,28.095177,28.095177,0
01-01-2021,28.229645,28.280836,27.636898,27.838905,27.838905,0
01-02-2021,27.871387,27.878513,27.327101,27.639534,27.639534,0
01-03-2021,27.76137,27.792933,27.327276,27.630789,27.630789,0
01-04-2021,27.594765,27.898895,27.374498,27.501093,27.501093,0
01-05-2021,27.648785,27.648785,27.176758,27.243507,27.243507,0
01-06-2021,27.138027,27.306181,26.667793,26.934477,26.934477,0
01-07-2021,27.136187,27.160257,26.518663,26.626324,26.626324,0
01-08-2021,26.605932,26.737047,26.330849,26.599751,26.599751,0
01-09-2021,26.741285,26.766163,26.30414,26.337786,26.337786,0
01-10-2021,26.36676,26.367258,25.882378,26.076994,26.076994,0
01-11-2021,26.216593,26.947153,25.791784,26.947153,26.947153,0
01-12-2021,26.951687,27.182207,26.627132,27.022661,27.022661,0
01-01-2022,27.030539,28.765038,26.923281,28.321165,28.321165,0
01-02-2022,27.976358,29.819399,27.584702,29.562567,29.562567,0
01-03-2022,29.772787,30.144258,28.994287,29.27976,29.27976,0
01-04-2022,29.322329,30.169123,28.966681,29.940037,29.940037,0
01-05-2022,29.914839,30.164694,28.884439,29.253878,29.253878,0
01-06-2022,29.175615,29.563314,28.882143,29.221329,29.221329,0
01-07-2022,29.036173,29.459877,29.036173,29.226076,29.226076,0
18-07-2022,29.540199,29.540199,29.540199,29.540199,29.540199,0
